programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21PDM102L/General Aptitude,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,21CSC101T/OODP,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,21MAB102T/ACCA,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21CYB101J/Chemistry,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21EES101T/EEE,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,,
AIML,I Year,I/II/ AIML 'D,ADMIN 402,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,"21LEH103T/French 
21LEH104T/German 
21LEH105T/Japanese",
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,,
AIML,I Year,I/II/ AIML 'E,ADMIN 501,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21CYB101J/Chemistry,
